{'sample_size': 500, 'difference': -40, 'noise': 0, 'n': 14, 'alpha': 0.2, 'shap_error': 0.008196037656072392, 'shap_norm_sq': 8.960000000001104, 'weighted_error': 1.0035855820889883, 'gamma': 0.06249999999999221}
{'sample_size': 500, 'difference': 52, 'noise': 0, 'n': 14, 'alpha': 0.3, 'shap_error': 0.010538890701355951, 'shap_norm_sq': 6.860000000000788, 'weighted_error': 1.0006890625259726, 'gamma': 0.18367346938773377}
{'sample_size': 500, 'difference': 12, 'noise': 0, 'n': 14, 'alpha': 0.4, 'shap_error': 0.014656663174884088, 'shap_norm_sq': 5.040000000000556, 'weighted_error': 1.0010897370414467, 'gamma': 0.44444444444439446}
{'sample_size': 500, 'difference': -14, 'noise': 0, 'n': 14, 'alpha': 0.5, 'shap_error': 0.021634197522056347, 'shap_norm_sq': 3.50000000000033, 'weighted_error': 1.0012260342567516, 'gamma': 0.9999999999999041}
{'sample_size': 500, 'difference': -52, 'noise': 0, 'n': 14, 'alpha': 0.6, 'shap_error': 0.041770409288219096, 'shap_norm_sq': 2.2400000000001774, 'weighted_error': 1.0043922907494163, 'gamma': 2.249999999999817}
{'sample_size': 500, 'difference': -10, 'noise': 0, 'n': 14, 'alpha': 0.7, 'shap_error': 0.06646467730196264, 'shap_norm_sq': 1.2600000000000606, 'weighted_error': 1.0017954696752036, 'gamma': 5.444444444444169}
{'sample_size': 500, 'difference': -4, 'noise': 0, 'n': 14, 'alpha': 0.8, 'shap_error': 0.15170455284581918, 'shap_norm_sq': 0.5599999999999955, 'weighted_error': 1.0015095957773537, 'gamma': 16.000000000000085}
{'sample_size': 500, 'difference': 24, 'noise': 0, 'n': 14, 'alpha': 0.2, 'shap_error': 0.008074994048137362, 'shap_norm_sq': 8.960000000001104, 'weighted_error': 1.0016488843620261, 'gamma': 0.06249999999999221}
{'sample_size': 500, 'difference': 6, 'noise': 0, 'n': 14, 'alpha': 0.3, 'shap_error': 0.010563930368635576, 'shap_norm_sq': 6.860000000000788, 'weighted_error': 1.000825389603385, 'gamma': 0.18367346938773377}
{'sample_size': 500, 'difference': -48, 'noise': 0, 'n': 14, 'alpha': 0.4, 'shap_error': 0.015773428057272894, 'shap_norm_sq': 5.040000000000556, 'weighted_error': 1.0036024580268235, 'gamma': 0.44444444444439446}
{'sample_size': 500, 'difference': -10, 'noise': 0, 'n': 14, 'alpha': 0.5, 'shap_error': 0.022567687718100297, 'shap_norm_sq': 3.50000000000033, 'weighted_error': 1.0021595244527952, 'gamma': 0.9999999999999041}
{'sample_size': 500, 'difference': -6, 'noise': 0, 'n': 14, 'alpha': 0.6, 'shap_error': 0.034558432337311706, 'shap_norm_sq': 2.2400000000001774, 'weighted_error': 1.00118696766012, 'gamma': 2.249999999999817}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 14, 'alpha': 0.7, 'shap_error': 0.06271999531349881, 'shap_norm_sq': 1.2600000000000606, 'weighted_error': 1.0011076709426279, 'gamma': 5.444444444444169}
{'sample_size': 500, 'difference': -30, 'noise': 0, 'n': 14, 'alpha': 0.8, 'shap_error': 0.16024790459855204, 'shap_norm_sq': 0.5599999999999955, 'weighted_error': 1.0020435552618998, 'gamma': 16.000000000000085}
{'sample_size': 500, 'difference': -12, 'noise': 0, 'n': 14, 'alpha': 0.2, 'shap_error': 0.00811734236902318, 'shap_norm_sq': 8.960000000001104, 'weighted_error': 1.0023264574962025, 'gamma': 0.06249999999999221}
{'sample_size': 500, 'difference': -16, 'noise': 0, 'n': 14, 'alpha': 0.3, 'shap_error': 0.010791402624299765, 'shap_norm_sq': 6.860000000000788, 'weighted_error': 1.0020638496620022, 'gamma': 0.18367346938773377}
{'sample_size': 500, 'difference': -50, 'noise': 0, 'n': 14, 'alpha': 0.4, 'shap_error': 0.015498571290305152, 'shap_norm_sq': 5.040000000000556, 'weighted_error': 1.002984030301145, 'gamma': 0.44444444444439446}
{'sample_size': 500, 'difference': 34, 'noise': 0, 'n': 14, 'alpha': 0.5, 'shap_error': 0.021867032058925533, 'shap_norm_sq': 3.50000000000033, 'weighted_error': 1.0014588687936177, 'gamma': 0.9999999999999041}
{'sample_size': 500, 'difference': -34, 'noise': 0, 'n': 14, 'alpha': 0.6, 'shap_error': 0.03482454041434122, 'shap_norm_sq': 2.2400000000001774, 'weighted_error': 1.0013052379165777, 'gamma': 2.249999999999817}
{'sample_size': 500, 'difference': -40, 'noise': 0, 'n': 14, 'alpha': 0.7, 'shap_error': 0.06621319848101466, 'shap_norm_sq': 1.2600000000000606, 'weighted_error': 1.0017492796876843, 'gamma': 5.444444444444169}
{'sample_size': 500, 'difference': -124, 'noise': 0, 'n': 14, 'alpha': 0.8, 'shap_error': 0.23383925912986664, 'shap_norm_sq': 0.5599999999999955, 'weighted_error': 1.0066430149201098, 'gamma': 16.000000000000085}
{'sample_size': 500, 'difference': 20, 'noise': 0, 'n': 14, 'alpha': 0.2, 'shap_error': 0.008098413478808186, 'shap_norm_sq': 8.960000000001104, 'weighted_error': 1.0020235952527679, 'gamma': 0.06249999999999221}
{'sample_size': 500, 'difference': -28, 'noise': 0, 'n': 14, 'alpha': 0.3, 'shap_error': 0.010998054056376053, 'shap_norm_sq': 6.860000000000788, 'weighted_error': 1.003188951903304, 'gamma': 0.18367346938773377}
{'sample_size': 500, 'difference': -30, 'noise': 0, 'n': 14, 'alpha': 0.4, 'shap_error': 0.015878152252165247, 'shap_norm_sq': 5.040000000000556, 'weighted_error': 1.0038380874653343, 'gamma': 0.44444444444439446}
{'sample_size': 500, 'difference': -36, 'noise': 0, 'n': 14, 'alpha': 0.5, 'shap_error': 0.023181542452151312, 'shap_norm_sq': 3.50000000000033, 'weighted_error': 1.0027733791868447, 'gamma': 0.9999999999999041}
{'sample_size': 500, 'difference': 4, 'noise': 0, 'n': 14, 'alpha': 0.6, 'shap_error': 0.036808799646779265, 'shap_norm_sq': 2.2400000000001774, 'weighted_error': 1.0021871309087724, 'gamma': 2.249999999999817}
{'sample_size': 500, 'difference': -48, 'noise': 0, 'n': 14, 'alpha': 0.7, 'shap_error': 0.06636048968018615, 'shap_norm_sq': 1.2600000000000606, 'weighted_error': 1.0017763331732465, 'gamma': 5.444444444444169}
{'sample_size': 500, 'difference': -2, 'noise': 0, 'n': 14, 'alpha': 0.8, 'shap_error': 0.15528500097557799, 'shap_norm_sq': 0.5599999999999955, 'weighted_error': 1.001733373785463, 'gamma': 16.000000000000085}
{'sample_size': 500, 'difference': -28, 'noise': 0, 'n': 14, 'alpha': 0.2, 'shap_error': 0.008133106819296415, 'shap_norm_sq': 8.960000000001104, 'weighted_error': 1.002578688700581, 'gamma': 0.06249999999999221}
{'sample_size': 500, 'difference': -84, 'noise': 0, 'n': 14, 'alpha': 0.3, 'shap_error': 0.011321621318773676, 'shap_norm_sq': 6.860000000000788, 'weighted_error': 1.004950595887478, 'gamma': 0.18367346938773377}
{'sample_size': 500, 'difference': -8, 'noise': 0, 'n': 14, 'alpha': 0.4, 'shap_error': 0.01577077921594665, 'shap_norm_sq': 5.040000000000556, 'weighted_error': 1.0035964981338414, 'gamma': 0.44444444444439446}
{'sample_size': 500, 'difference': 38, 'noise': 0, 'n': 14, 'alpha': 0.5, 'shap_error': 0.021714424244235433, 'shap_norm_sq': 3.50000000000033, 'weighted_error': 1.0013062609789276, 'gamma': 0.9999999999999041}
{'sample_size': 500, 'difference': 34, 'noise': 0, 'n': 14, 'alpha': 0.6, 'shap_error': 0.036972645970689895, 'shap_norm_sq': 2.2400000000001774, 'weighted_error': 1.0022599514971784, 'gamma': 2.249999999999817}
{'sample_size': 500, 'difference': 6, 'noise': 0, 'n': 14, 'alpha': 0.7, 'shap_error': 0.07138859141946279, 'shap_norm_sq': 1.2600000000000606, 'weighted_error': 1.0026998620641345, 'gamma': 5.444444444444169}
{'sample_size': 500, 'difference': -22, 'noise': 0, 'n': 14, 'alpha': 0.8, 'shap_error': 0.15369920502793957, 'shap_norm_sq': 0.5599999999999955, 'weighted_error': 1.0016342615387366, 'gamma': 16.000000000000085}
{'sample_size': 500, 'difference': 6, 'noise': 0, 'n': 14, 'alpha': 0.2, 'shap_error': 0.008057295527090929, 'shap_norm_sq': 8.960000000001104, 'weighted_error': 1.0013657080252785, 'gamma': 0.06249999999999221}
{'sample_size': 500, 'difference': -10, 'noise': 0, 'n': 14, 'alpha': 0.3, 'shap_error': 0.010615689236667695, 'shap_norm_sq': 6.860000000000788, 'weighted_error': 1.001107187884896, 'gamma': 0.18367346938773377}
{'sample_size': 500, 'difference': 50, 'noise': 0, 'n': 14, 'alpha': 0.4, 'shap_error': 0.014814800589967286, 'shap_norm_sq': 5.040000000000556, 'weighted_error': 1.001445546225385, 'gamma': 0.44444444444439446}
{'sample_size': 500, 'difference': -42, 'noise': 0, 'n': 14, 'alpha': 0.5, 'shap_error': 0.022102220077783383, 'shap_norm_sq': 3.50000000000033, 'weighted_error': 1.0016940568124784, 'gamma': 0.9999999999999041}
{'sample_size': 500, 'difference': -18, 'noise': 0, 'n': 14, 'alpha': 0.6, 'shap_error': 0.04559045587837116, 'shap_norm_sq': 2.2400000000001774, 'weighted_error': 1.006090089233928, 'gamma': 2.249999999999817}
{'sample_size': 500, 'difference': -12, 'noise': 0, 'n': 14, 'alpha': 0.7, 'shap_error': 0.07214920571129879, 'shap_norm_sq': 1.2600000000000606, 'weighted_error': 1.0028395667299808, 'gamma': 5.444444444444169}
{'sample_size': 500, 'difference': -10, 'noise': 0, 'n': 14, 'alpha': 0.8, 'shap_error': 0.14362211906113867, 'shap_norm_sq': 0.5599999999999955, 'weighted_error': 1.0010044436658112, 'gamma': 16.000000000000085}
{'sample_size': 500, 'difference': -32, 'noise': 0, 'n': 14, 'alpha': 0.2, 'shap_error': 0.008231653373177559, 'shap_norm_sq': 8.960000000001104, 'weighted_error': 1.0041554335626783, 'gamma': 0.06249999999999221}
{'sample_size': 500, 'difference': -4, 'noise': 0, 'n': 14, 'alpha': 0.3, 'shap_error': 0.010510818148830026, 'shap_norm_sq': 6.860000000000788, 'weighted_error': 1.0005362230733337, 'gamma': 0.18367346938773377}
{'sample_size': 500, 'difference': -4, 'noise': 0, 'n': 14, 'alpha': 0.4, 'shap_error': 0.015742858503159256, 'shap_norm_sq': 5.040000000000556, 'weighted_error': 1.0035336765300695, 'gamma': 0.44444444444439446}
{'sample_size': 500, 'difference': -52, 'noise': 0, 'n': 14, 'alpha': 0.5, 'shap_error': 0.02153203289237462, 'shap_norm_sq': 3.50000000000033, 'weighted_error': 1.0011238696270697, 'gamma': 0.9999999999999041}
{'sample_size': 500, 'difference': 14, 'noise': 0, 'n': 14, 'alpha': 0.6, 'shap_error': 0.03758207206729941, 'shap_norm_sq': 2.2400000000001774, 'weighted_error': 1.0025308075401147, 'gamma': 2.249999999999817}
{'sample_size': 500, 'difference': 34, 'noise': 0, 'n': 14, 'alpha': 0.7, 'shap_error': 0.06353506994724781, 'shap_norm_sq': 1.2600000000000606, 'weighted_error': 1.001257378528418, 'gamma': 5.444444444444169}
{'sample_size': 500, 'difference': 38, 'noise': 0, 'n': 14, 'alpha': 0.8, 'shap_error': 0.14967173133191866, 'shap_norm_sq': 0.5599999999999955, 'weighted_error': 1.0013825444327331, 'gamma': 16.000000000000085}
{'sample_size': 500, 'difference': 6, 'noise': 0, 'n': 14, 'alpha': 0.2, 'shap_error': 0.008181321922790627, 'shap_norm_sq': 8.960000000001104, 'weighted_error': 1.0033501303564878, 'gamma': 0.06249999999999221}
{'sample_size': 500, 'difference': -30, 'noise': 0, 'n': 14, 'alpha': 0.3, 'shap_error': 0.010962069688856393, 'shap_norm_sq': 6.860000000000788, 'weighted_error': 1.0029930370134812, 'gamma': 0.18367346938773377}
{'sample_size': 500, 'difference': -40, 'noise': 0, 'n': 14, 'alpha': 0.4, 'shap_error': 0.014981465337149032, 'shap_norm_sq': 5.040000000000556, 'weighted_error': 1.001820541906545, 'gamma': 0.44444444444439446}
{'sample_size': 500, 'difference': -70, 'noise': 0, 'n': 14, 'alpha': 0.5, 'shap_error': 0.023393531084853803, 'shap_norm_sq': 3.50000000000033, 'weighted_error': 1.0029853678195493, 'gamma': 0.9999999999999041}
{'sample_size': 500, 'difference': -18, 'noise': 0, 'n': 14, 'alpha': 0.6, 'shap_error': 0.035061094749917594, 'shap_norm_sq': 2.2400000000001774, 'weighted_error': 1.0014103731768353, 'gamma': 2.249999999999817}
{'sample_size': 500, 'difference': -16, 'noise': 0, 'n': 14, 'alpha': 0.7, 'shap_error': 0.0667468115964283, 'shap_norm_sq': 1.2600000000000606, 'weighted_error': 1.0018472902599038, 'gamma': 5.444444444444169}
{'sample_size': 500, 'difference': 6, 'noise': 0, 'n': 14, 'alpha': 0.8, 'shap_error': 0.1533901312423563, 'shap_norm_sq': 0.5599999999999955, 'weighted_error': 1.0016149444271354, 'gamma': 16.000000000000085}
{'sample_size': 500, 'difference': 22, 'noise': 0, 'n': 14, 'alpha': 0.2, 'shap_error': 0.008092134535862296, 'shap_norm_sq': 8.960000000001104, 'weighted_error': 1.0019231321656212, 'gamma': 0.06249999999999221}
{'sample_size': 500, 'difference': 10, 'noise': 0, 'n': 14, 'alpha': 0.3, 'shap_error': 0.010650470351093346, 'shap_norm_sq': 6.860000000000788, 'weighted_error': 1.0012965517301005, 'gamma': 0.18367346938773377}
{'sample_size': 500, 'difference': 4, 'noise': 0, 'n': 14, 'alpha': 0.4, 'shap_error': 0.014868361340550666, 'shap_norm_sq': 5.040000000000556, 'weighted_error': 1.0015660579141954, 'gamma': 0.44444444444439446}
{'sample_size': 500, 'difference': -2, 'noise': 0, 'n': 14, 'alpha': 0.5, 'shap_error': 0.024341190245592073, 'shap_norm_sq': 3.50000000000033, 'weighted_error': 1.0039330269802882, 'gamma': 0.9999999999999041}
{'sample_size': 500, 'difference': -14, 'noise': 0, 'n': 14, 'alpha': 0.6, 'shap_error': 0.03686269454453169, 'shap_norm_sq': 2.2400000000001774, 'weighted_error': 1.0022110841966632, 'gamma': 2.249999999999817}
{'sample_size': 500, 'difference': -40, 'noise': 0, 'n': 14, 'alpha': 0.7, 'shap_error': 0.06494434037391796, 'shap_norm_sq': 1.2600000000000606, 'weighted_error': 1.001516224116991, 'gamma': 5.444444444444169}
{'sample_size': 500, 'difference': 66, 'noise': 0, 'n': 14, 'alpha': 0.8, 'shap_error': 0.13755984066996355, 'shap_norm_sq': 0.5599999999999955, 'weighted_error': 1.0006255512663618, 'gamma': 16.000000000000085}
{'sample_size': 500, 'difference': -32, 'noise': 0, 'n': 14, 'alpha': 0.2, 'shap_error': 0.008081182088734987, 'shap_norm_sq': 8.960000000001104, 'weighted_error': 1.001747893011596, 'gamma': 0.06249999999999221}
{'sample_size': 500, 'difference': -38, 'noise': 0, 'n': 14, 'alpha': 0.3, 'shap_error': 0.010755551521044744, 'shap_norm_sq': 6.860000000000788, 'weighted_error': 1.0018686603220577, 'gamma': 0.18367346938773377}
{'sample_size': 500, 'difference': 2, 'noise': 0, 'n': 14, 'alpha': 0.4, 'shap_error': 0.014918200519466808, 'shap_norm_sq': 5.040000000000556, 'weighted_error': 1.001678196066758, 'gamma': 0.44444444444439446}
{'sample_size': 500, 'difference': -22, 'noise': 0, 'n': 14, 'alpha': 0.5, 'shap_error': 0.023289869130838203, 'shap_norm_sq': 3.50000000000033, 'weighted_error': 1.0028817058655326, 'gamma': 0.9999999999999041}
{'sample_size': 500, 'difference': -28, 'noise': 0, 'n': 14, 'alpha': 0.6, 'shap_error': 0.0367578425833601, 'shap_norm_sq': 2.2400000000001774, 'weighted_error': 1.0021644833250312, 'gamma': 2.249999999999817}
{'sample_size': 500, 'difference': 16, 'noise': 0, 'n': 14, 'alpha': 0.7, 'shap_error': 0.06821268847616695, 'shap_norm_sq': 1.2600000000000606, 'weighted_error': 1.0021165329520996, 'gamma': 5.444444444444169}
{'sample_size': 500, 'difference': 38, 'noise': 0, 'n': 14, 'alpha': 0.8, 'shap_error': 0.14240158401846542, 'shap_norm_sq': 0.5599999999999955, 'weighted_error': 1.000928160225643, 'gamma': 16.000000000000085}
{'sample_size': 500, 'difference': -50, 'noise': 0, 'n': 14, 'alpha': 0.2, 'shap_error': 0.008216731501220789, 'shap_norm_sq': 8.960000000001104, 'weighted_error': 1.0039166836113638, 'gamma': 0.06249999999999221}
{'sample_size': 500, 'difference': -22, 'noise': 0, 'n': 14, 'alpha': 0.3, 'shap_error': 0.01067866335189058, 'shap_norm_sq': 6.860000000000788, 'weighted_error': 1.0014500469566623, 'gamma': 0.18367346938773377}
{'sample_size': 500, 'difference': -64, 'noise': 0, 'n': 14, 'alpha': 0.4, 'shap_error': 0.015046444672976741, 'shap_norm_sq': 5.040000000000556, 'weighted_error': 1.0019667454121592, 'gamma': 0.44444444444439446}
{'sample_size': 500, 'difference': -32, 'noise': 0, 'n': 14, 'alpha': 0.5, 'shap_error': 0.0233083125075634, 'shap_norm_sq': 3.50000000000033, 'weighted_error': 1.0029001492422596, 'gamma': 0.9999999999999041}
{'sample_size': 500, 'difference': -48, 'noise': 0, 'n': 14, 'alpha': 0.6, 'shap_error': 0.03648783358110436, 'shap_norm_sq': 2.2400000000001774, 'weighted_error': 1.0020444793240308, 'gamma': 2.249999999999817}
{'sample_size': 500, 'difference': -4, 'noise': 0, 'n': 14, 'alpha': 0.7, 'shap_error': 0.06352050720596485, 'shap_norm_sq': 1.2600000000000606, 'weighted_error': 1.001254703739206, 'gamma': 5.444444444444169}
{'sample_size': 500, 'difference': 16, 'noise': 0, 'n': 14, 'alpha': 0.8, 'shap_error': 0.17384020444069553, 'shap_norm_sq': 0.5599999999999955, 'weighted_error': 1.0028930740020354, 'gamma': 16.000000000000085}
{'sample_size': 500, 'difference': -72, 'noise': 0, 'n': 14, 'alpha': 0.2, 'shap_error': 0.0081890863047567, 'shap_norm_sq': 8.960000000001104, 'weighted_error': 1.003474360467944, 'gamma': 0.06249999999999221}
{'sample_size': 500, 'difference': -8, 'noise': 0, 'n': 14, 'alpha': 0.3, 'shap_error': 0.0106695043561678, 'shap_norm_sq': 6.860000000000788, 'weighted_error': 1.0014001813132853, 'gamma': 0.18367346938773377}
{'sample_size': 500, 'difference': -38, 'noise': 0, 'n': 14, 'alpha': 0.4, 'shap_error': 0.0164893116306701, 'shap_norm_sq': 5.040000000000556, 'weighted_error': 1.0052131960669695, 'gamma': 0.44444444444439446}
{'sample_size': 500, 'difference': -8, 'noise': 0, 'n': 14, 'alpha': 0.5, 'shap_error': 0.022410484355113502, 'shap_norm_sq': 3.50000000000033, 'weighted_error': 1.0020023210898048, 'gamma': 0.9999999999999041}
{'sample_size': 500, 'difference': 30, 'noise': 0, 'n': 14, 'alpha': 0.6, 'shap_error': 0.03436587059877337, 'shap_norm_sq': 2.2400000000001774, 'weighted_error': 1.0011013846652128, 'gamma': 2.249999999999817}
{'sample_size': 500, 'difference': -8, 'noise': 0, 'n': 14, 'alpha': 0.7, 'shap_error': 0.07319221265396314, 'shap_norm_sq': 1.2600000000000606, 'weighted_error': 1.003031139433736, 'gamma': 5.444444444444169}
{'sample_size': 500, 'difference': 22, 'noise': 0, 'n': 14, 'alpha': 0.8, 'shap_error': 0.15747851191236495, 'shap_norm_sq': 0.5599999999999955, 'weighted_error': 1.0018704682190138, 'gamma': 16.000000000000085}
{'sample_size': 500, 'difference': 4, 'noise': 0, 'n': 14, 'alpha': 0.2, 'shap_error': 0.008071308538715733, 'shap_norm_sq': 8.960000000001104, 'weighted_error': 1.001589916211282, 'gamma': 0.06249999999999221}
{'sample_size': 500, 'difference': 12, 'noise': 0, 'n': 14, 'alpha': 0.3, 'shap_error': 0.010663273387127126, 'shap_norm_sq': 6.860000000000788, 'weighted_error': 1.001366257148503, 'gamma': 0.18367346938773377}
{'sample_size': 500, 'difference': 14, 'noise': 0, 'n': 14, 'alpha': 0.4, 'shap_error': 0.014402285446139028, 'shap_norm_sq': 5.040000000000556, 'weighted_error': 1.0005173871517703, 'gamma': 0.44444444444439446}
{'sample_size': 500, 'difference': 2, 'noise': 0, 'n': 14, 'alpha': 0.5, 'shap_error': 0.021567323479731337, 'shap_norm_sq': 3.50000000000033, 'weighted_error': 1.001159160214424, 'gamma': 0.9999999999999041}
{'sample_size': 500, 'difference': 10, 'noise': 0, 'n': 14, 'alpha': 0.6, 'shap_error': 0.035499043621984416, 'shap_norm_sq': 2.2400000000001774, 'weighted_error': 1.0016050171199744, 'gamma': 2.249999999999817}
{'sample_size': 500, 'difference': 30, 'noise': 0, 'n': 14, 'alpha': 0.7, 'shap_error': 0.06372713887783721, 'shap_norm_sq': 1.2600000000000606, 'weighted_error': 1.0012926564952622, 'gamma': 5.444444444444169}
{'sample_size': 500, 'difference': 48, 'noise': 0, 'n': 14, 'alpha': 0.8, 'shap_error': 0.1384588742925848, 'shap_norm_sq': 0.5599999999999955, 'weighted_error': 1.000681740867777, 'gamma': 16.000000000000085}
{'sample_size': 500, 'difference': -16, 'noise': 0, 'n': 14, 'alpha': 0.2, 'shap_error': 0.008097672071456601, 'shap_norm_sq': 8.960000000001104, 'weighted_error': 1.002011732735134, 'gamma': 0.06249999999999221}
{'sample_size': 500, 'difference': -20, 'noise': 0, 'n': 14, 'alpha': 0.3, 'shap_error': 0.010827298530809604, 'shap_norm_sq': 6.860000000000788, 'weighted_error': 1.0022592829307744, 'gamma': 0.18367346938773377}
{'sample_size': 500, 'difference': -16, 'noise': 0, 'n': 14, 'alpha': 0.4, 'shap_error': 0.014696226596341497, 'shap_norm_sq': 5.040000000000556, 'weighted_error': 1.0011787547397264, 'gamma': 0.44444444444439446}
{'sample_size': 500, 'difference': -64, 'noise': 0, 'n': 14, 'alpha': 0.5, 'shap_error': 0.026077139967640134, 'shap_norm_sq': 3.50000000000033, 'weighted_error': 1.0056689767023348, 'gamma': 0.9999999999999041}
{'sample_size': 500, 'difference': -44, 'noise': 0, 'n': 14, 'alpha': 0.6, 'shap_error': 0.04849851923818757, 'shap_norm_sq': 2.2400000000001774, 'weighted_error': 1.0073825618382894, 'gamma': 2.249999999999817}
{'sample_size': 500, 'difference': -12, 'noise': 0, 'n': 14, 'alpha': 0.7, 'shap_error': 0.06570591642975165, 'shap_norm_sq': 1.2600000000000606, 'weighted_error': 1.0016561054333697, 'gamma': 5.444444444444169}
{'sample_size': 500, 'difference': -6, 'noise': 0, 'n': 14, 'alpha': 0.8, 'shap_error': 0.1576625449590364, 'shap_norm_sq': 0.5599999999999955, 'weighted_error': 1.0018819702844284, 'gamma': 16.000000000000085}
{'sample_size': 500, 'difference': -8, 'noise': 0, 'n': 14, 'alpha': 0.2, 'shap_error': 0.0080709725414609, 'shap_norm_sq': 8.960000000001104, 'weighted_error': 1.0015845402552042, 'gamma': 0.06249999999999221}
{'sample_size': 500, 'difference': -8, 'noise': 0, 'n': 14, 'alpha': 0.3, 'shap_error': 0.010680136697991527, 'shap_norm_sq': 6.860000000000788, 'weighted_error': 1.001458068507654, 'gamma': 0.18367346938773377}
{'sample_size': 500, 'difference': 26, 'noise': 0, 'n': 14, 'alpha': 0.4, 'shap_error': 0.015338254518245708, 'shap_norm_sq': 5.040000000000556, 'weighted_error': 1.0026233175640107, 'gamma': 0.44444444444439446}
{'sample_size': 500, 'difference': 4, 'noise': 0, 'n': 14, 'alpha': 0.5, 'shap_error': 0.021541954498269577, 'shap_norm_sq': 3.50000000000033, 'weighted_error': 1.0011337912329648, 'gamma': 0.9999999999999041}
{'sample_size': 500, 'difference': -14, 'noise': 0, 'n': 14, 'alpha': 0.6, 'shap_error': 0.037089892160544216, 'shap_norm_sq': 2.2400000000001774, 'weighted_error': 1.0023120609148928, 'gamma': 2.249999999999817}
{'sample_size': 500, 'difference': -2, 'noise': 0, 'n': 14, 'alpha': 0.7, 'shap_error': 0.07102865807847002, 'shap_norm_sq': 1.2600000000000606, 'weighted_error': 1.0026337518586435, 'gamma': 5.444444444444169}
{'sample_size': 500, 'difference': -12, 'noise': 0, 'n': 14, 'alpha': 0.8, 'shap_error': 0.14610789142914002, 'shap_norm_sq': 0.5599999999999955, 'weighted_error': 1.001159804438811, 'gamma': 16.000000000000085}
