{'sample_size': 500, 'difference': -42, 'noise': 0, 'n': 12, 'alpha': 0.2, 'shap_error': 0.006971653972696233, 'weighted_error': 1.000680238206268, 'gamma': 0.06249999999999612}
{'sample_size': 500, 'difference': -15, 'noise': 0, 'n': 12, 'alpha': 0.3, 'shap_error': 0.007043100095071923, 'weighted_error': 1.0010961738958528, 'gamma': 0.1836734693877447}
{'sample_size': 500, 'difference': -2, 'noise': 0, 'n': 12, 'alpha': 0.4, 'shap_error': 0.0069882768820136295, 'weighted_error': 1.0002739527348032, 'gamma': 0.4444444444444227}
{'sample_size': 500, 'difference': -1, 'noise': 0, 'n': 12, 'alpha': 0.5, 'shap_error': 0.007081720111551257, 'weighted_error': 1.000549102668425, 'gamma': 0.99999999999996}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 12, 'alpha': 0.6, 'shap_error': 0.007371268827358845, 'weighted_error': 1.0011856232858722, 'gamma': 2.2499999999999405}
{'sample_size': 500, 'difference': -22, 'noise': 0, 'n': 12, 'alpha': 0.7, 'shap_error': 0.007243668274094679, 'weighted_error': 1.0006106608768361, 'gamma': 5.444444444444437}
{'sample_size': 500, 'difference': 19, 'noise': 0, 'n': 12, 'alpha': 0.8, 'shap_error': 0.0070603921924497414, 'weighted_error': 1.0001811683562578, 'gamma': 16.000000000000675}
{'sample_size': 500, 'difference': 32, 'noise': 0, 'n': 12, 'alpha': 0.2, 'shap_error': 0.00697322986762965, 'weighted_error': 1.0007196355796042, 'gamma': 0.06249999999999612}
{'sample_size': 500, 'difference': -10, 'noise': 0, 'n': 12, 'alpha': 0.3, 'shap_error': 0.006996522625460268, 'weighted_error': 1.0005786464557218, 'gamma': 0.1836734693877447}
{'sample_size': 500, 'difference': 10, 'noise': 0, 'n': 12, 'alpha': 0.4, 'shap_error': 0.007017567378869893, 'weighted_error': 1.0004570183401538, 'gamma': 0.4444444444444227}
{'sample_size': 500, 'difference': -6, 'noise': 0, 'n': 12, 'alpha': 0.5, 'shap_error': 0.00703429099933461, 'weighted_error': 1.0003593862195579, 'gamma': 0.99999999999996}
{'sample_size': 500, 'difference': -21, 'noise': 0, 'n': 12, 'alpha': 0.6, 'shap_error': 0.007420483879292855, 'weighted_error': 1.001322331763467, 'gamma': 2.2499999999999405}
{'sample_size': 500, 'difference': -5, 'noise': 0, 'n': 12, 'alpha': 0.7, 'shap_error': 0.007154197513433138, 'weighted_error': 1.0004280674877317, 'gamma': 5.444444444444437}
{'sample_size': 500, 'difference': -44, 'noise': 0, 'n': 12, 'alpha': 0.8, 'shap_error': 0.007508187863903344, 'weighted_error': 1.0008808490929042, 'gamma': 16.000000000000675}
{'sample_size': 500, 'difference': 26, 'noise': 0, 'n': 12, 'alpha': 0.2, 'shap_error': 0.006962893593677831, 'weighted_error': 1.0004612287308101, 'gamma': 0.06249999999999612}
{'sample_size': 500, 'difference': -8, 'noise': 0, 'n': 12, 'alpha': 0.3, 'shap_error': 0.006982456770747505, 'weighted_error': 1.000422359181137, 'gamma': 0.1836734693877447}
{'sample_size': 500, 'difference': -9, 'noise': 0, 'n': 12, 'alpha': 0.4, 'shap_error': 0.007054896324110833, 'weighted_error': 1.00069032424791, 'gamma': 0.4444444444444227}
{'sample_size': 500, 'difference': -3, 'noise': 0, 'n': 12, 'alpha': 0.5, 'shap_error': 0.007031858073150078, 'weighted_error': 1.0003496545148203, 'gamma': 0.99999999999996}
{'sample_size': 500, 'difference': 34, 'noise': 0, 'n': 12, 'alpha': 0.6, 'shap_error': 0.007311738030258382, 'weighted_error': 1.0010202599605929, 'gamma': 2.2499999999999405}
{'sample_size': 500, 'difference': -11, 'noise': 0, 'n': 12, 'alpha': 0.7, 'shap_error': 0.0071530795947487924, 'weighted_error': 1.0004257860210286, 'gamma': 5.444444444444437}
{'sample_size': 500, 'difference': -4, 'noise': 0, 'n': 12, 'alpha': 0.8, 'shap_error': 0.007252497931399757, 'weighted_error': 1.000481333573367, 'gamma': 16.000000000000675}
{'sample_size': 500, 'difference': -13, 'noise': 0, 'n': 12, 'alpha': 0.2, 'shap_error': 0.006984051555814327, 'weighted_error': 1.0009901777842256, 'gamma': 0.06249999999999612}
{'sample_size': 500, 'difference': 20, 'noise': 0, 'n': 12, 'alpha': 0.3, 'shap_error': 0.0069994493450575524, 'weighted_error': 1.0006111655623573, 'gamma': 0.1836734693877447}
{'sample_size': 500, 'difference': -12, 'noise': 0, 'n': 12, 'alpha': 0.4, 'shap_error': 0.007025895681492422, 'weighted_error': 1.000509070231545, 'gamma': 0.4444444444444227}
{'sample_size': 500, 'difference': 12, 'noise': 0, 'n': 12, 'alpha': 0.5, 'shap_error': 0.007024760945525924, 'weighted_error': 1.0003212660043235, 'gamma': 0.99999999999996}
{'sample_size': 500, 'difference': -14, 'noise': 0, 'n': 12, 'alpha': 0.6, 'shap_error': 0.007229607417138218, 'weighted_error': 1.0007921193685918, 'gamma': 2.2499999999999405}
{'sample_size': 500, 'difference': 1, 'noise': 0, 'n': 12, 'alpha': 0.7, 'shap_error': 0.007103792489121161, 'weighted_error': 1.000325200091176, 'gamma': 5.444444444444437}
{'sample_size': 500, 'difference': -13, 'noise': 0, 'n': 12, 'alpha': 0.8, 'shap_error': 0.007287967765995149, 'weighted_error': 1.0005367551899227, 'gamma': 16.000000000000675}
{'sample_size': 500, 'difference': 3, 'noise': 0, 'n': 12, 'alpha': 0.2, 'shap_error': 0.006970901988460474, 'weighted_error': 1.0006614386003774, 'gamma': 0.06249999999999612}
{'sample_size': 500, 'difference': -3, 'noise': 0, 'n': 12, 'alpha': 0.3, 'shap_error': 0.006996056647484781, 'weighted_error': 1.000573468922659, 'gamma': 0.1836734693877447}
{'sample_size': 500, 'difference': 5, 'noise': 0, 'n': 12, 'alpha': 0.4, 'shap_error': 0.00702869461155051, 'weighted_error': 1.0005265635444076, 'gamma': 0.4444444444444227}
{'sample_size': 500, 'difference': -48, 'noise': 0, 'n': 12, 'alpha': 0.5, 'shap_error': 0.007473774380394542, 'weighted_error': 1.0021173197437983, 'gamma': 0.99999999999996}
{'sample_size': 500, 'difference': -17, 'noise': 0, 'n': 12, 'alpha': 0.6, 'shap_error': 0.007203122986926654, 'weighted_error': 1.0007185515068935, 'gamma': 2.2499999999999405}
{'sample_size': 500, 'difference': -17, 'noise': 0, 'n': 12, 'alpha': 0.7, 'shap_error': 0.007237661385304975, 'weighted_error': 1.000598401920123, 'gamma': 5.444444444444437}
{'sample_size': 500, 'difference': 35, 'noise': 0, 'n': 12, 'alpha': 0.8, 'shap_error': 0.007136851780939448, 'weighted_error': 1.000300636463273, 'gamma': 16.000000000000675}
{'sample_size': 500, 'difference': 1, 'noise': 0, 'n': 12, 'alpha': 0.2, 'shap_error': 0.006963861349708417, 'weighted_error': 1.0004854226315725, 'gamma': 0.06249999999999612}
{'sample_size': 500, 'difference': -8, 'noise': 0, 'n': 12, 'alpha': 0.3, 'shap_error': 0.0069735706230063125, 'weighted_error': 1.0003236242062339, 'gamma': 0.1836734693877447}
{'sample_size': 500, 'difference': -21, 'noise': 0, 'n': 12, 'alpha': 0.4, 'shap_error': 0.007014354263803174, 'weighted_error': 1.0004369363709877, 'gamma': 0.4444444444444227}
{'sample_size': 500, 'difference': -1, 'noise': 0, 'n': 12, 'alpha': 0.5, 'shap_error': 0.007206290879516398, 'weighted_error': 1.001047385740286, 'gamma': 0.99999999999996}
{'sample_size': 500, 'difference': -32, 'noise': 0, 'n': 12, 'alpha': 0.6, 'shap_error': 0.007063532236736708, 'weighted_error': 1.0003307994230324, 'gamma': 2.2499999999999405}
{'sample_size': 500, 'difference': 23, 'noise': 0, 'n': 12, 'alpha': 0.7, 'shap_error': 0.007380174006770524, 'weighted_error': 1.0008892440047463, 'gamma': 5.444444444444437}
{'sample_size': 500, 'difference': -4, 'noise': 0, 'n': 12, 'alpha': 0.8, 'shap_error': 0.007235082069791188, 'weighted_error': 1.0004541212896039, 'gamma': 16.000000000000675}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 12, 'alpha': 0.2, 'shap_error': 0.006968580819903432, 'weighted_error': 1.000603409386448, 'gamma': 0.06249999999999612}
{'sample_size': 500, 'difference': 11, 'noise': 0, 'n': 12, 'alpha': 0.3, 'shap_error': 0.0070196826337064035, 'weighted_error': 1.0008359798806794, 'gamma': 0.1836734693877447}
{'sample_size': 500, 'difference': -16, 'noise': 0, 'n': 12, 'alpha': 0.4, 'shap_error': 0.0070078343255495475, 'weighted_error': 1.000396186756903, 'gamma': 0.4444444444444227}
{'sample_size': 500, 'difference': -16, 'noise': 0, 'n': 12, 'alpha': 0.5, 'shap_error': 0.0070964754415120445, 'weighted_error': 1.0006081239882676, 'gamma': 0.99999999999996}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 12, 'alpha': 0.6, 'shap_error': 0.007127911630894677, 'weighted_error': 1.0005096310734714, 'gamma': 2.2499999999999405}
{'sample_size': 500, 'difference': -13, 'noise': 0, 'n': 12, 'alpha': 0.7, 'shap_error': 0.007203312308002969, 'weighted_error': 1.0005283017623638, 'gamma': 5.444444444444437}
{'sample_size': 500, 'difference': -19, 'noise': 0, 'n': 12, 'alpha': 0.8, 'shap_error': 0.0072405852807783675, 'weighted_error': 1.0004627200567713, 'gamma': 16.000000000000675}
{'sample_size': 500, 'difference': -20, 'noise': 0, 'n': 12, 'alpha': 0.2, 'shap_error': 0.0069644517420589455, 'weighted_error': 1.0005001824403366, 'gamma': 0.06249999999999612}
{'sample_size': 500, 'difference': -13, 'noise': 0, 'n': 12, 'alpha': 0.3, 'shap_error': 0.006988906710154945, 'weighted_error': 1.0004940251745533, 'gamma': 0.1836734693877447}
{'sample_size': 500, 'difference': 10, 'noise': 0, 'n': 12, 'alpha': 0.4, 'shap_error': 0.0070265047083321675, 'weighted_error': 1.0005128766492926, 'gamma': 0.4444444444444227}
{'sample_size': 500, 'difference': -23, 'noise': 0, 'n': 12, 'alpha': 0.5, 'shap_error': 0.007074044931056196, 'weighted_error': 1.0005184019464444, 'gamma': 0.99999999999996}
{'sample_size': 500, 'difference': -15, 'noise': 0, 'n': 12, 'alpha': 0.6, 'shap_error': 0.0070524994387727484, 'weighted_error': 1.0003001527620219, 'gamma': 2.2499999999999405}
{'sample_size': 500, 'difference': -1, 'noise': 0, 'n': 12, 'alpha': 0.7, 'shap_error': 0.007339210934885446, 'weighted_error': 1.0008056458988581, 'gamma': 5.444444444444437}
{'sample_size': 500, 'difference': -23, 'noise': 0, 'n': 12, 'alpha': 0.8, 'shap_error': 0.00729270948116241, 'weighted_error': 1.0005441641198716, 'gamma': 16.000000000000675}
{'sample_size': 500, 'difference': -3, 'noise': 0, 'n': 12, 'alpha': 0.2, 'shap_error': 0.006957756975264218, 'weighted_error': 1.0003328132704672, 'gamma': 0.06249999999999612}
{'sample_size': 500, 'difference': 8, 'noise': 0, 'n': 12, 'alpha': 0.3, 'shap_error': 0.007006860319571636, 'weighted_error': 1.0006935097236267, 'gamma': 0.1836734693877447}
{'sample_size': 500, 'difference': -13, 'noise': 0, 'n': 12, 'alpha': 0.4, 'shap_error': 0.0070009823608939885, 'weighted_error': 1.0003533619778038, 'gamma': 0.4444444444444227}
{'sample_size': 500, 'difference': -4, 'noise': 0, 'n': 12, 'alpha': 0.5, 'shap_error': 0.007096795489428348, 'weighted_error': 1.0006094041799327, 'gamma': 0.99999999999996}
{'sample_size': 500, 'difference': -5, 'noise': 0, 'n': 12, 'alpha': 0.6, 'shap_error': 0.007475238831533386, 'weighted_error': 1.0014744288530228, 'gamma': 2.2499999999999405}
{'sample_size': 500, 'difference': -16, 'noise': 0, 'n': 12, 'alpha': 0.7, 'shap_error': 0.00708606034280788, 'weighted_error': 1.0002890120374757, 'gamma': 5.444444444444437}
{'sample_size': 500, 'difference': -3, 'noise': 0, 'n': 12, 'alpha': 0.8, 'shap_error': 0.00766222260129899, 'weighted_error': 1.0011215283700847, 'gamma': 16.000000000000675}
{'sample_size': 500, 'difference': -19, 'noise': 0, 'n': 12, 'alpha': 0.2, 'shap_error': 0.007000438226288719, 'weighted_error': 1.0013998445460783, 'gamma': 0.06249999999999612}
{'sample_size': 500, 'difference': -20, 'noise': 0, 'n': 12, 'alpha': 0.3, 'shap_error': 0.006983385628438568, 'weighted_error': 1.0004326798221457, 'gamma': 0.1836734693877447}
{'sample_size': 500, 'difference': -9, 'noise': 0, 'n': 12, 'alpha': 0.4, 'shap_error': 0.007007286403139373, 'weighted_error': 1.0003927622418392, 'gamma': 0.4444444444444227}
{'sample_size': 500, 'difference': 11, 'noise': 0, 'n': 12, 'alpha': 0.5, 'shap_error': 0.0070979116289619296, 'weighted_error': 1.0006138687380668, 'gamma': 0.99999999999996}
{'sample_size': 500, 'difference': -32, 'noise': 0, 'n': 12, 'alpha': 0.6, 'shap_error': 0.007472404889698413, 'weighted_error': 1.001466556792371, 'gamma': 2.2499999999999405}
{'sample_size': 500, 'difference': -25, 'noise': 0, 'n': 12, 'alpha': 0.7, 'shap_error': 0.007190067609435296, 'weighted_error': 1.0005012717652872, 'gamma': 5.444444444444437}
{'sample_size': 500, 'difference': -27, 'noise': 0, 'n': 12, 'alpha': 0.8, 'shap_error': 0.007630153567794363, 'weighted_error': 1.0010714205052342, 'gamma': 16.000000000000675}
{'sample_size': 500, 'difference': -1, 'noise': 0, 'n': 12, 'alpha': 0.2, 'shap_error': 0.006960403861448135, 'weighted_error': 1.0003989854250686, 'gamma': 0.06249999999999612}
{'sample_size': 500, 'difference': -25, 'noise': 0, 'n': 12, 'alpha': 0.3, 'shap_error': 0.007005993124210763, 'weighted_error': 1.0006838742196176, 'gamma': 0.1836734693877447}
{'sample_size': 500, 'difference': 9, 'noise': 0, 'n': 12, 'alpha': 0.4, 'shap_error': 0.006985288545815004, 'weighted_error': 1.0002552756335614, 'gamma': 0.4444444444444227}
{'sample_size': 500, 'difference': -8, 'noise': 0, 'n': 12, 'alpha': 0.5, 'shap_error': 0.007009022700397161, 'weighted_error': 1.000258313023808, 'gamma': 0.99999999999996}
{'sample_size': 500, 'difference': -13, 'noise': 0, 'n': 12, 'alpha': 0.6, 'shap_error': 0.007140414446508537, 'weighted_error': 1.0005443611168436, 'gamma': 2.2499999999999405}
{'sample_size': 500, 'difference': -27, 'noise': 0, 'n': 12, 'alpha': 0.7, 'shap_error': 0.007133858893198029, 'weighted_error': 1.0003865600994961, 'gamma': 5.444444444444437}
{'sample_size': 500, 'difference': -17, 'noise': 0, 'n': 12, 'alpha': 0.8, 'shap_error': 0.007415522462913751, 'weighted_error': 1.000736059403858, 'gamma': 16.000000000000675}
{'sample_size': 500, 'difference': -15, 'noise': 0, 'n': 12, 'alpha': 0.2, 'shap_error': 0.006958030784880336, 'weighted_error': 1.0003396585108706, 'gamma': 0.06249999999999612}
{'sample_size': 500, 'difference': -14, 'noise': 0, 'n': 12, 'alpha': 0.3, 'shap_error': 0.00697833763642516, 'weighted_error': 1.0003765910219982, 'gamma': 0.1836734693877447}
{'sample_size': 500, 'difference': -14, 'noise': 0, 'n': 12, 'alpha': 0.4, 'shap_error': 0.007155003245762165, 'weighted_error': 1.0013159925082329, 'gamma': 0.4444444444444227}
{'sample_size': 500, 'difference': -19, 'noise': 0, 'n': 12, 'alpha': 0.5, 'shap_error': 0.007176939687628545, 'weighted_error': 1.0009299809727337, 'gamma': 0.99999999999996}
{'sample_size': 500, 'difference': 10, 'noise': 0, 'n': 12, 'alpha': 0.6, 'shap_error': 0.007146914778208144, 'weighted_error': 1.0005624175937864, 'gamma': 2.2499999999999405}
{'sample_size': 500, 'difference': -14, 'noise': 0, 'n': 12, 'alpha': 0.7, 'shap_error': 0.007019509311009001, 'weighted_error': 1.0001531936052332, 'gamma': 5.444444444444437}
{'sample_size': 500, 'difference': 5, 'noise': 0, 'n': 12, 'alpha': 0.8, 'shap_error': 0.007403295848637641, 'weighted_error': 1.0007169553190511, 'gamma': 16.000000000000675}
{'sample_size': 500, 'difference': -12, 'noise': 0, 'n': 12, 'alpha': 0.2, 'shap_error': 0.0069504826673329086, 'weighted_error': 1.0001509555721873, 'gamma': 0.06249999999999612}
{'sample_size': 500, 'difference': -24, 'noise': 0, 'n': 12, 'alpha': 0.3, 'shap_error': 0.007016098085736393, 'weighted_error': 1.0007961515699002, 'gamma': 0.1836734693877447}
{'sample_size': 500, 'difference': -6, 'noise': 0, 'n': 12, 'alpha': 0.4, 'shap_error': 0.007039845820672679, 'weighted_error': 1.0005962586014217, 'gamma': 0.4444444444444227}
{'sample_size': 500, 'difference': -24, 'noise': 0, 'n': 12, 'alpha': 0.5, 'shap_error': 0.007007020003846375, 'weighted_error': 1.0002503022376046, 'gamma': 0.99999999999996}
{'sample_size': 500, 'difference': -1, 'noise': 0, 'n': 12, 'alpha': 0.6, 'shap_error': 0.007117398251511031, 'weighted_error': 1.0004804272418502, 'gamma': 2.2499999999999405}
{'sample_size': 500, 'difference': -12, 'noise': 0, 'n': 12, 'alpha': 0.7, 'shap_error': 0.007375987631196161, 'weighted_error': 1.0008807003811253, 'gamma': 5.444444444444437}
{'sample_size': 500, 'difference': -16, 'noise': 0, 'n': 12, 'alpha': 0.8, 'shap_error': 0.0072573159761757855, 'weighted_error': 1.00048886176833, 'gamma': 16.000000000000675}
{'sample_size': 500, 'difference': 10, 'noise': 0, 'n': 12, 'alpha': 0.2, 'shap_error': 0.006972332169792632, 'weighted_error': 1.0006971931336779, 'gamma': 0.06249999999999612}
{'sample_size': 500, 'difference': 12, 'noise': 0, 'n': 12, 'alpha': 0.3, 'shap_error': 0.006998644201295492, 'weighted_error': 1.0006022195205557, 'gamma': 0.1836734693877447}
{'sample_size': 500, 'difference': 3, 'noise': 0, 'n': 12, 'alpha': 0.4, 'shap_error': 0.007081338093457727, 'weighted_error': 1.0008555853063286, 'gamma': 0.4444444444444227}
{'sample_size': 500, 'difference': 6, 'noise': 0, 'n': 12, 'alpha': 0.5, 'shap_error': 0.007250315265236582, 'weighted_error': 1.0012234832831663, 'gamma': 0.99999999999996}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 12, 'alpha': 0.6, 'shap_error': 0.007146447991795049, 'weighted_error': 1.000561120964862, 'gamma': 2.2499999999999405}
{'sample_size': 500, 'difference': -17, 'noise': 0, 'n': 12, 'alpha': 0.7, 'shap_error': 0.007228873812599808, 'weighted_error': 1.0005804680982755, 'gamma': 5.444444444444437}
{'sample_size': 500, 'difference': -24, 'noise': 0, 'n': 12, 'alpha': 0.8, 'shap_error': 0.007425078231393804, 'weighted_error': 1.000750990292108, 'gamma': 16.000000000000675}
{'sample_size': 500, 'difference': 5, 'noise': 0, 'n': 12, 'alpha': 0.2, 'shap_error': 0.006954591960143922, 'weighted_error': 1.0002536878924615, 'gamma': 0.06249999999999612}
{'sample_size': 500, 'difference': -11, 'noise': 0, 'n': 12, 'alpha': 0.3, 'shap_error': 0.007019893719011974, 'weighted_error': 1.000838325272961, 'gamma': 0.1836734693877447}
{'sample_size': 500, 'difference': 13, 'noise': 0, 'n': 12, 'alpha': 0.4, 'shap_error': 0.006974150473900011, 'weighted_error': 1.0001856626840924, 'gamma': 0.4444444444444227}
{'sample_size': 500, 'difference': -16, 'noise': 0, 'n': 12, 'alpha': 0.5, 'shap_error': 0.007134925428889158, 'weighted_error': 1.000761923937776, 'gamma': 0.99999999999996}
{'sample_size': 500, 'difference': -5, 'noise': 0, 'n': 12, 'alpha': 0.6, 'shap_error': 0.007229746637216115, 'weighted_error': 1.0007925060910308, 'gamma': 2.2499999999999405}
{'sample_size': 500, 'difference': 20, 'noise': 0, 'n': 12, 'alpha': 0.7, 'shap_error': 0.007283738899874586, 'weighted_error': 1.0006924376641422, 'gamma': 5.444444444444437}
{'sample_size': 500, 'difference': 5, 'noise': 0, 'n': 12, 'alpha': 0.8, 'shap_error': 0.007218881974332385, 'weighted_error': 1.0004288086404491, 'gamma': 16.000000000000675}
{'sample_size': 500, 'difference': 35, 'noise': 0, 'n': 12, 'alpha': 0.2, 'shap_error': 0.006973944257037919, 'weighted_error': 1.00073749531481, 'gamma': 0.06249999999999612}
{'sample_size': 500, 'difference': 13, 'noise': 0, 'n': 12, 'alpha': 0.3, 'shap_error': 0.006998890673342095, 'weighted_error': 1.000604958098853, 'gamma': 0.1836734693877447}
{'sample_size': 500, 'difference': -3, 'noise': 0, 'n': 12, 'alpha': 0.4, 'shap_error': 0.007053496636073196, 'weighted_error': 1.0006815761976755, 'gamma': 0.4444444444444227}
{'sample_size': 500, 'difference': -31, 'noise': 0, 'n': 12, 'alpha': 0.5, 'shap_error': 0.007196521927483888, 'weighted_error': 1.0010083099321558, 'gamma': 0.99999999999996}
{'sample_size': 500, 'difference': -16, 'noise': 0, 'n': 12, 'alpha': 0.6, 'shap_error': 0.0075367106783117204, 'weighted_error': 1.001645183982964, 'gamma': 2.2499999999999405}
{'sample_size': 500, 'difference': -4, 'noise': 0, 'n': 12, 'alpha': 0.7, 'shap_error': 0.007420019419825494, 'weighted_error': 1.0009705611742468, 'gamma': 5.444444444444437}
{'sample_size': 500, 'difference': -13, 'noise': 0, 'n': 12, 'alpha': 0.8, 'shap_error': 0.007281994735428375, 'weighted_error': 1.000527422329662, 'gamma': 16.000000000000675}
{'sample_size': 500, 'difference': -8, 'noise': 0, 'n': 12, 'alpha': 0.2, 'shap_error': 0.006987461768227533, 'weighted_error': 1.0010754330945473, 'gamma': 0.06249999999999612}
{'sample_size': 500, 'difference': -9, 'noise': 0, 'n': 12, 'alpha': 0.3, 'shap_error': 0.006976121955161652, 'weighted_error': 1.000351972341292, 'gamma': 0.1836734693877447}
{'sample_size': 500, 'difference': -13, 'noise': 0, 'n': 12, 'alpha': 0.4, 'shap_error': 0.006987209001982374, 'weighted_error': 1.0002672784846063, 'gamma': 0.4444444444444227}
{'sample_size': 500, 'difference': -27, 'noise': 0, 'n': 12, 'alpha': 0.5, 'shap_error': 0.007058928251086581, 'weighted_error': 1.0004579352265657, 'gamma': 0.99999999999996}
{'sample_size': 500, 'difference': -31, 'noise': 0, 'n': 12, 'alpha': 0.6, 'shap_error': 0.00732248918047207, 'weighted_error': 1.0010501242667418, 'gamma': 2.2499999999999405}
{'sample_size': 500, 'difference': -42, 'noise': 0, 'n': 12, 'alpha': 0.7, 'shap_error': 0.0071136776170214735, 'weighted_error': 1.000345373821585, 'gamma': 5.444444444444437}
{'sample_size': 500, 'difference': -17, 'noise': 0, 'n': 12, 'alpha': 0.8, 'shap_error': 0.007275464175883115, 'weighted_error': 1.0005172183303728, 'gamma': 16.000000000000675}
{'sample_size': 500, 'difference': -13, 'noise': 0, 'n': 12, 'alpha': 0.2, 'shap_error': 0.006973270472862821, 'weighted_error': 1.0007206507104336, 'gamma': 0.06249999999999612}
{'sample_size': 500, 'difference': -22, 'noise': 0, 'n': 12, 'alpha': 0.3, 'shap_error': 0.0069799580537346605, 'weighted_error': 1.00039459565877, 'gamma': 0.1836734693877447}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 12, 'alpha': 0.4, 'shap_error': 0.00699540500287851, 'weighted_error': 1.0003185034902078, 'gamma': 0.4444444444444227}
{'sample_size': 500, 'difference': -14, 'noise': 0, 'n': 12, 'alpha': 0.5, 'shap_error': 0.007068877819747406, 'weighted_error': 1.0004977335012089, 'gamma': 0.99999999999996}
{'sample_size': 500, 'difference': -3, 'noise': 0, 'n': 12, 'alpha': 0.6, 'shap_error': 0.0070093614303802275, 'weighted_error': 1.0001803249609316, 'gamma': 2.2499999999999405}
{'sample_size': 500, 'difference': -21, 'noise': 0, 'n': 12, 'alpha': 0.7, 'shap_error': 0.007145118521379424, 'weighted_error': 1.0004095389325198, 'gamma': 5.444444444444437}
{'sample_size': 500, 'difference': -17, 'noise': 0, 'n': 12, 'alpha': 0.8, 'shap_error': 0.007477745520566237, 'weighted_error': 1.0008332829314401, 'gamma': 16.000000000000675}
{'sample_size': 500, 'difference': 2, 'noise': 0, 'n': 12, 'alpha': 0.2, 'shap_error': 0.006983612254509807, 'weighted_error': 1.0009791952516076, 'gamma': 0.06249999999999612}
{'sample_size': 500, 'difference': -9, 'noise': 0, 'n': 12, 'alpha': 0.3, 'shap_error': 0.006967826018784263, 'weighted_error': 1.0002597952704333, 'gamma': 0.1836734693877447}
{'sample_size': 500, 'difference': -33, 'noise': 0, 'n': 12, 'alpha': 0.4, 'shap_error': 0.007166583296178718, 'weighted_error': 1.0013883678233346, 'gamma': 0.4444444444444227}
{'sample_size': 500, 'difference': -13, 'noise': 0, 'n': 12, 'alpha': 0.5, 'shap_error': 0.007241028368740477, 'weighted_error': 1.0011863356971817, 'gamma': 0.99999999999996}
{'sample_size': 500, 'difference': 4, 'noise': 0, 'n': 12, 'alpha': 0.6, 'shap_error': 0.007096924814822128, 'weighted_error': 1.000423556584381, 'gamma': 2.2499999999999405}
